Sum of Energy,Column Labels,,,,,,,,
Row Labels,EM1_L3,EM3_L1,EM3_L2,EM3_L3,EM4_L1,EM4_L2,EM4_L3,(blank),Grand Total
01-04-2022,,76804200,,,28003800,27739800,27951000,,160498800
04-04-2022,,51090600,,,,,,,51090600
05-04-2022,,46272600,,,47988600,47500200,47916000,,189677400
06-04-2022,,24796200,,,,,,,24796200
07-04-2022,,64845000,,,,,,,64845000
08-04-2022,,65722800,,,26400000,26149200,26360400,,144632400
11-04-2022,,27126000,,,,,,,27126000
12-04-2022,,35798400,,,,,,,35798400
13-04-2022,,,,,5088600,5029200,5082000,,15199800
17-04-2022,,,,,64673400,63591000,63888000,,192152400
19-04-2022,,983400,,,42431400,42055200,42075000,,127545000
20-04-2022,,59136000,,,11536800,11352000,11411400,,93436200
21-04-2022,,81292200,,,51321600,50602200,50793600,,234009600
22-04-2022,,66039600,,,85800,79200,79200,,66283800
24-04-2022,,48879600,48807000,49110600,14784000,14592600,14638800,,190812600
25-04-2022,,166056000,72164400,72184200,115328400,59380200,59868600,,544981800
26-04-2022,,106260000,105567000,104662800,97006800,45784200,45553200,,504834000
27-04-2022,,94281000,61248000,61756200,81173400,79919400,81048000,,459426000
28-04-2022,56773200,130957200,129511800,129848400,81153600,78625800,79959000,,686829000
29-04-2022,89997600,187281600,170596800,170854200,134937000,132693000,133155000,,1019515200
(blank),,,,,,,,,
Grand Total,146770800,1333622400,587895000,588416400,801913200,685093200,689779200,,4833490200
